iso3c,year,oda_bio_total
BLZ,2010,46387
BLZ,2011,791275.8
BLZ,2012,161490
BLZ,2013,54731.2
BLZ,2014,327375.6
BLZ,2015,344386.8
BLZ,2016,775279.7999999999
BLZ,2017,750086
BLZ,2018,249057
BLZ,2019,279498
BLZ,2020,68812.4
BLZ,2021,408992
BLZ,2022,486213.2
BLZ,2023,6450193.200000001
BRA,2010,438522576.59999996
BRA,2011,501562473.4
BRA,2012,175664500.20000002
BRA,2013,90095997.20000002
BRA,2014,97411060.00000001
BRA,2015,160104439.39999998
BRA,2016,117097924.8
BRA,2017,157185591
BRA,2018,106102457.80000001
BRA,2019,89530611.6
BRA,2020,118286603.4
BRA,2021,69814417.6
BRA,2022,187707797.4
BRA,2023,137505489.8
BTN,2010,3539357.2
BTN,2011,2497404.8000000003
BTN,2012,700402.4
BTN,2013,3666498.6000000006
BTN,2014,675005.6000000001
BTN,2015,76606.20000000001
BTN,2016,28565530.8
BTN,2017,419676
BTN,2018,818421.8
BTN,2019,1282655
BTN,2020,11150833.6
BTN,2021,12403322.600000001
BTN,2022,607570
BTN,2023,746773
BWA,2010,135565
BWA,2011,474419.4
BWA,2012,703118.8
BWA,2013,875476.8
BWA,2014,2094737.2
BWA,2015,1830288
BWA,2016,6390503
BWA,2017,6951473.2
BWA,2018,4486104.4
BWA,2019,4353829
BWA,2020,1504762
BWA,2021,4320375.2
BWA,2022,2044299.4000000001
BWA,2023,2493168.6
COL,2010,25691482.8
COL,2011,12966566.8
COL,2012,68153091.20000002
COL,2013,71118764.19999999
COL,2014,70171511.00000001
COL,2015,563974394.6
COL,2016,243705615.2
COL,2017,302758379.8000001
COL,2018,275292440.6
COL,2019,65255703.59999999
COL,2020,346176325.8
COL,2021,494347569.4000001
COL,2022,204735331.8
COL,2023,300582875
COL,2024,212464.8
CRI,2010,24651961.2
CRI,2011,2368899.6
CRI,2012,1211658
CRI,2013,2936511.8000000003
CRI,2014,9990617.2
CRI,2015,1802394.4
CRI,2016,1916076.4
CRI,2017,1394237
CRI,2018,3233183.6
CRI,2019,1224863
CRI,2020,1383743.8
CRI,2021,79855869
CRI,2022,99472498
CRI,2023,5133289
CUB,2010,1971200.8
CUB,2011,4953114.000000001
CUB,2012,4667917.8
CUB,2013,2548259.6000000006
CUB,2014,1008406.2000000001
CUB,2015,1181457.3999999997
CUB,2016,4233072.8
CUB,2017,3630559.4
CUB,2018,17474741.4
CUB,2019,3673153.0000000005
CUB,2020,7744375.8
CUB,2021,44314080.6
CUB,2022,3392072.3999999994
CUB,2023,15022086
ECU,2010,47252881.6
ECU,2011,26959485.2
ECU,2012,13274345.4
ECU,2013,32682704.2
ECU,2014,60634807.400000006
ECU,2015,51769072.20000001
ECU,2016,24717456
ECU,2017,56501325.8
ECU,2018,59599090.6
ECU,2019,14647464
ECU,2020,10817412.200000001
ECU,2021,57207597.6
ECU,2022,167661077.8
ECU,2023,21271261
FJI,2010,359665.4
FJI,2011,615723.6000000001
FJI,2012,1237052.8
FJI,2013,1356933.2
FJI,2014,716265.6000000001
FJI,2015,1732339.4
FJI,2016,634744
FJI,2017,2585908
FJI,2018,1719903.4
FJI,2019,1598456.2000000002
FJI,2020,1313591.2000000002
FJI,2021,5538866.000000001
FJI,2022,2376321.0000000005
FJI,2023,10433562.2
GEO,2010,5316139.600000001
GEO,2011,13554825.6
GEO,2012,26727673.8
GEO,2013,9036663.4
GEO,2014,10566238.600000001
GEO,2015,39579969.6
GEO,2016,43332212.4
GEO,2017,1041146.4
GEO,2018,4769761.4
GEO,2019,57399745.00000001
GEO,2020,2617496
GEO,2021,53417113.800000004
GEO,2022,18836491.200000003
GEO,2023,2813760.4000000004
GTM,2010,6347075.6
GTM,2011,13827411.6
GTM,2012,13527658.799999999
GTM,2013,34596282.2
GTM,2014,37883989.2
GTM,2015,27236009.2
GTM,2016,35682007
GTM,2017,18392515.4
GTM,2018,22059878
GTM,2019,13360519.6
GTM,2020,28315270
GTM,2021,28548293.400000002
GTM,2022,57480418.00000001
GTM,2023,24092913.8
IDN,2010,152347313.8
IDN,2011,111065831.6
IDN,2012,106172291.80000001
IDN,2013,126324172
IDN,2014,201423014
IDN,2015,108593823.8
IDN,2016,165859038
IDN,2017,136200276.60000002
IDN,2018,112284520.60000001
IDN,2019,161710081.6
IDN,2020,95703901.00000001
IDN,2021,125172276.6
IDN,2022,110232288.60000001
IDN,2023,161091057.59999996
IND,2010,80731022.60000001
IND,2011,477099414.79999995
IND,2012,113477545.80000001
IND,2013,20933751
IND,2014,282676859.4
IND,2015,191623890.8
IND,2016,169291286.79999998
IND,2017,325967998.2
IND,2018,251550148.8
IND,2019,143945440.6
IND,2020,246794368.6
IND,2021,32067137.400000002
IND,2022,332048339.40000004
IND,2023,236985046.4
KAZ,2010,1015085.3999999999
KAZ,2011,118583.8
KAZ,2012,552888.2
KAZ,2013,5826597.600000001
KAZ,2014,152631.40000000002
KAZ,2015,11369.2
KAZ,2016,1273583.8
KAZ,2017,1405464.4000000001
KAZ,2018,1190311.2000000002
KAZ,2019,914526.2
KAZ,2020,152406.80000000002
KAZ,2021,511804.60000000003
KAZ,2022,699216.7999999999
KAZ,2023,635741.4
KGZ,2010,1871067.6
KGZ,2011,2187165.6
KGZ,2012,1882566.4
KGZ,2013,2163329.2
KGZ,2014,7341883.6
KGZ,2015,251089.6
KGZ,2016,795400.6
KGZ,2017,760408.2
KGZ,2018,3512300.2
KGZ,2019,437104.60000000003
KGZ,2020,3789957.4
KGZ,2021,314097
KGZ,2022,7316312.2
KGZ,2023,5003040.199999999
KHM,2010,33662472.6
KHM,2011,14515740.600000001
KHM,2012,29778985.200000003
KHM,2013,16148794.2
KHM,2014,34784849.599999994
KHM,2015,24964070.599999998
KHM,2016,11652989.2
KHM,2017,15260957.6
KHM,2018,215941710.39999995
KHM,2019,15190518.4
KHM,2020,17704525.799999997
KHM,2021,18458864
KHM,2022,25500965.6
KHM,2023,42731345.8
LKA,2010,109989701.60000001
LKA,2011,1628488
LKA,2012,3166128.6
LKA,2013,2362464.4000000004
LKA,2014,4377833.4
LKA,2015,33194799.8
LKA,2016,127038981.80000001
LKA,2017,3699874.6000000006
LKA,2018,12923692.599999998
LKA,2019,336668.60000000003
LKA,2020,4685482.4
LKA,2021,4538356.6
LKA,2022,8169204.600000001
LKA,2023,4987433.6
MDG,2010,3077438.8
MDG,2011,22814865.2
MDG,2012,13781567.200000001
MDG,2013,27362077.000000004
MDG,2014,29889741
MDG,2015,59101047.6
MDG,2016,23292950
MDG,2017,131584578.2
MDG,2018,73212524.6
MDG,2019,20079543.4
MDG,2020,54860891
MDG,2021,83557187.2
MDG,2022,59639985.400000006
MDG,2023,90240773.2
MEX,2010,23044358
MEX,2011,36368531
MEX,2012,121274516.4
MEX,2013,20335658.4
MEX,2014,22902235.200000003
MEX,2015,14837648.2
MEX,2016,25314207.2
MEX,2017,275029833.6
MEX,2018,63938763.6
MEX,2019,19545582
MEX,2020,22641453.6
MEX,2021,327555134.8
MEX,2022,54392352.2
MEX,2023,132597987.2
MNG,2010,5079678.4
MNG,2011,3744826.2
MNG,2012,6388873
MNG,2013,24173285.800000004
MNG,2014,2882543.4
MNG,2015,9903384.2
MNG,2016,4990255.800000001
MNG,2017,5264993.399999999
MNG,2018,27051945.800000004
MNG,2019,19928857.2
MNG,2020,4395974.600000001
MNG,2021,6439738.800000001
MNG,2022,7942834.399999999
MNG,2023,19193632.8
MOZ,2010,42667572.2
MOZ,2011,27669413
MOZ,2012,36220286.800000004
MOZ,2013,44959904.400000006
MOZ,2014,46621122.800000004
MOZ,2015,67418360.4
MOZ,2016,62187580
MOZ,2017,58860121.599999994
MOZ,2018,38084314
MOZ,2019,52469801.40000001
MOZ,2020,43475542.4
MOZ,2021,55202797
MOZ,2022,69469813
MOZ,2023,107313912.39999999
MOZ,2024,839839.6
MYS,2010,2934700.6
MYS,2011,1673350
MYS,2012,4132722.6
MYS,2013,2211360
MYS,2014,2178026
MYS,2015,2823599.1999999997
MYS,2016,2283354.8
MYS,2017,5495765.2
MYS,2018,1494751
MYS,2019,5425563.2
MYS,2020,468037.8
MYS,2021,5138516.600000001
MYS,2022,4471474.2
MYS,2023,3788023.4000000004
NPL,2010,19651335.200000003
NPL,2011,30550796.400000002
NPL,2012,6166074.600000001
NPL,2013,27449998.200000003
NPL,2014,18888905.400000002
NPL,2015,14321812.4
NPL,2016,27527347.400000002
NPL,2017,17024352.4
NPL,2018,21689469.4
NPL,2019,16076093.4
NPL,2020,7736831
NPL,2021,16432657.400000002
NPL,2022,38071140
NPL,2023,15059482.8
PER,2010,144578603
PER,2011,88265427.4
PER,2012,75240301.2
PER,2013,59806283.00000001
PER,2014,49429777.2
PER,2015,41197304.2
PER,2016,110239108.60000001
PER,2017,58423279.39999999
PER,2018,35907504.400000006
PER,2019,56837786
PER,2020,74464237.4
PER,2021,137181847.20000002
PER,2022,142455470
PER,2023,48785226.599999994
PHL,2010,15878212
PHL,2011,42998522.6
PHL,2012,112506534.39999999
PHL,2013,16311122.599999998
PHL,2014,424410838.4
PHL,2015,20930699.8
PHL,2016,28541688
PHL,2017,26735964.2
PHL,2018,24511549.799999997
PHL,2019,22777814.8
PHL,2020,30848723.200000003
PHL,2021,23641760.6
PHL,2022,84855438.6
PHL,2023,32182410.000000004
RWA,2010,10787387.200000001
RWA,2011,24974673.8
RWA,2012,8840647.8
RWA,2013,23426606.600000005
RWA,2014,11624758
RWA,2015,38116315
RWA,2016,36918313.8
RWA,2017,15947266.399999999
RWA,2018,10381517.000000002
RWA,2019,7952892.2
RWA,2020,2341110
RWA,2021,44730244
RWA,2022,20124696.400000002
RWA,2023,33254697.400000002
THA,2010,5155884.4
THA,2011,6506692.4
THA,2012,4116697.2
THA,2013,4560775.600000001
THA,2014,2331461
THA,2015,1465296.6
THA,2016,2446080.8000000003
THA,2017,25440308.199999996
THA,2018,1622678
THA,2019,3726524.6
THA,2020,2492770
THA,2021,3304560.6000000006
THA,2022,10510689.8
THA,2023,8299985.6
TZA,2010,24461556.8
TZA,2011,71012812.8
TZA,2012,33698998.6
TZA,2013,83425067.6
TZA,2014,80776121.4
TZA,2015,91238609.4
TZA,2016,44464449.6
TZA,2017,31500903.199999996
TZA,2018,95464796.6
TZA,2019,47214092.599999994
TZA,2020,47286553.2
TZA,2021,161253461.2
TZA,2022,244048368.6
TZA,2023,67439787.4
UGA,2010,51800129.6
UGA,2011,29364305.600000005
UGA,2012,20686249.200000003
UGA,2013,70660744.8
UGA,2014,49089313.00000001
UGA,2015,59709993.199999996
UGA,2016,46390365.599999994
UGA,2017,46877593
UGA,2018,26741055.399999995
UGA,2019,74364644.2
UGA,2020,21585692.6
UGA,2021,57765142.2
UGA,2022,31163082.199999996
UGA,2023,114692359.60000001
VNM,2010,59981905.400000006
VNM,2011,124931765.39999999
VNM,2012,100475013.19999997
VNM,2013,28610135.8
VNM,2014,168829314.59999996
VNM,2015,69840890
VNM,2016,188585284.4
VNM,2017,43104002.599999994
VNM,2018,36221767.4
VNM,2019,35229105.4
VNM,2020,31194154.200000003
VNM,2021,120970289.19999999
VNM,2022,21857880.8
VNM,2023,64364936.800000004
ZAF,2010,6691732
ZAF,2011,7892131.8
ZAF,2012,30917896.200000003
ZAF,2013,22220703
ZAF,2014,11142238.399999999
ZAF,2015,11799182.4
ZAF,2016,59438750.800000004
ZAF,2017,8246532.4
ZAF,2018,4421739
ZAF,2019,12285164.8
