iso3c,year,country,region,gdppc,tax_gdp,pop,GE,PV,RQ,oda_bio_total,oda_bio_weighted_pc
BLZ,2010,Belize,Latin America and Caribbean,NA,NA,NA,-0.261244267225266,0.0704276859760284,-0.33560249209404,46387,NA
BLZ,2011,Belize,Latin America and Caribbean,NA,NA,NA,-0.248732417821884,0.151908859610558,-0.378444939851761,791275.8,NA
BLZ,2012,Belize,Latin America and Caribbean,5732.66519942347,18.3628959510632,334414,-0.165085405111313,0.180257618427277,-0.436850935220718,161490,0.4829044238578528
BLZ,2013,Belize,Latin America and Caribbean,5957.34953619006,18.4715397684085,341627,-0.145570039749146,0.176189258694649,-0.447350561618805,54731.2,0.16020747774619687
BLZ,2014,Belize,Latin America and Caribbean,6128.12053089077,19.8625602469168,348923,-0.543895483016968,0.0485830754041672,-0.461533755064011,327375.6,0.9382459740401177
BLZ,2015,Belize,Latin America and Caribbean,6154.62264230369,19.7057091458161,356333,-0.641967713832855,0.0372595116496086,-0.440686821937561,344386.8,0.9664746178434217
BLZ,2016,Belize,Latin America and Caribbean,6140.86713919469,20.6436561300688,364705,-0.635813772678375,0.0521895512938499,-0.494319975376129,775279.7999999999,2.1257723365459755
BLZ,2017,Belize,Latin America and Caribbean,6071.85451846453,21.346693969945,373202,-0.670175135135651,0.0304041262716055,-0.55601555109024,750086,2.0098659707075526
BLZ,2018,Belize,Latin America and Caribbean,6011.99036888587,NA,380226,-0.627418994903564,-0.00212321965955198,-0.666695117950439,249057,0.6550235912325827
BLZ,2019,Belize,Latin America and Caribbean,6171.61449761423,NA,385829,-0.634233057498932,0.0619864836335182,-0.559759736061096,279498,0.7244089998418989
BLZ,2020,Belize,Latin America and Caribbean,5238.54078175696,NA,390812,-0.603579580783844,0.518667578697205,-0.55057954788208,68812.4,0.17607545315906367
BLZ,2021,Belize,Latin America and Caribbean,6142.98930557031,NA,395346,-0.526691198348999,0.272466063499451,-0.424278557300568,408992,1.0345166006485458
BLZ,2022,Belize,Latin America and Caribbean,7068.21728043145,NA,402733,-0.356684654951096,0.564006090164185,-0.438766330480576,486213.2,1.2072842304951419
BLZ,2023,Belize,Latin America and Caribbean,7424.75821321022,NA,411106,-0.376311779022217,0.58532577753067,-0.430582851171494,6450193.200000001,15.689854198187332
BLZ,2024,Belize,Latin America and Caribbean,7681.24400583113,NA,417072,NA,NA,NA,NA,NA
BRA,2010,Brazil,Latin America and Caribbean,NA,NA,NA,-0.0868625491857529,0.0134759107604623,0.246619865298271,438522576.59999996,NA
BRA,2011,Brazil,Latin America and Caribbean,NA,NA,NA,-0.152404069900513,-0.132575422525406,0.25802206993103,501562473.4,NA
BRA,2012,Brazil,Latin America and Caribbean,12521.7238454434,14.3324110911528,196876111,-0.16054867208004,0.0459616407752037,0.173244088888168,175664500.20000002,0.892259092826148
BRA,2013,Brazil,Latin America and Caribbean,12458.8903396625,14.1253057439527,198478299,-0.119030974805355,-0.258553296327591,0.146290123462677,90095997.20000002,0.4539337431544595
BRA,2014,Brazil,Latin America and Caribbean,12274.9941630213,13.4900745186687,200085127,-0.175920635461807,-0.070290133357048007,-0.0282199531793594,97411060.00000001,0.48684808041729166
BRA,2015,Brazil,Latin America and Caribbean,8936.1955889444,13.6296293653745,201675532,-0.255271553993225,-0.331864446401596,-0.181910037994385,160104439.39999998,0.7938714122246618
BRA,2016,Brazil,Latin America and Caribbean,8836.28546025694,13.710430980954,203218114,-0.249387070536613,-0.381035059690475,-0.189951747655869,117097924.8,0.5762179487602173
BRA,2017,Brazil,Latin America and Caribbean,10080.5078722821,13.6052285153591,204703445,-0.317140609025955,-0.479947566986084,-0.130978867411613,157185591,0.7678697884151388
BRA,2018,Brazil,Latin America and Caribbean,9300.66072904004,13.9401079934694,206107261,-0.520569622516632,-0.459598511457443,-0.293125450611115,106102457.80000001,0.5147924303355815
BRA,2019,Brazil,Latin America and Caribbean,9029.83304401079,13.737694839557,207455459,-0.234114676713943,-0.714224636554718,-0.121404096484184,89530611.6,0.43156546485479563
BRA,2020,Brazil,Latin America and Caribbean,7074.19407495707,12.7193878562394,208660842,-0.465709209442139,-0.44689092040062,-0.111011527478695,118286603.4,0.566884530256041
BRA,2021,Brazil,Latin America and Caribbean,7972.53696080695,14.136675133405,209550294,-0.492990374565125,-0.419879764318466,-0.121613994240761,69814417.6,0.333163062037985
BRA,2022,Brazil,Latin America and Caribbean,9281.33282136864,14.725847914016,210306415,-0.588259339332581,-0.395036935806274,-0.220437631011009,187707797.4,0.8925443258590091
BRA,2023,Brazil,Latin America and Caribbean,10377.5897719195,14.0418624162203,211140729,-0.546764314174652,-0.408567786216736,-0.29647821187973,137505489.8,0.6512504264395147
BRA,2024,Brazil,Latin America and Caribbean,10310.5488778166,15.4102340842559,211998573,NA,NA,NA,NA,NA
BTN,2010,Bhutan,Asia and the Pacific,NA,NA,NA,0.609069526195526,0.742221653461456,-1.15894365310669,3539357.2,NA
BTN,2011,Bhutan,Asia and the Pacific,NA,NA,NA,0.691294491291046,0.826495349407196,-1.15420484542847,2497404.8000000003,NA
BTN,2012,Bhutan,Asia and the Pacific,2751.2128864294,13.588728073627,717279,0.542693614959717,0.776309490203857,-1.09300851821899,700402.4,0.9764713591224614
BTN,2013,Bhutan,Asia and the Pacific,2679.95217201538,13.302594743585,725273,0.420869916677475,0.784624874591827,-1.08675539493561,3666498.6000000006,5.055335852844378
BTN,2014,Bhutan,Asia and the Pacific,2849.49998647303,12.5052991179472,733139,0.293826997280121,1.06803858280182,-1.01474559307098,675005.6000000001,0.9207061689529544
BTN,2015,Bhutan,Asia and the Pacific,2954.04081911097,12.1453454217218,740618,0.420701026916504,0.960772633552551,-0.73503041267395,76606.20000000001,0.10343550926388505
BTN,2016,Bhutan,Asia and the Pacific,3152.30905106786,11.8864300663326,747866,0.498982816934586,1.1060882806778,-0.691017687320709,28565530.8,38.19605490823223
BTN,2017,Bhutan,Asia and the Pacific,3435.28804735662,11.8591944993995,754335,0.562770962715149,1.1027946472168,-0.341520547866821,419676,0.5563522837996381
