region,country,in_bfp_flag,bfp_year,years_since_bfp,index,catalogue_solution_type_level_a,catalogue_solution_type_level_b,status_num,solution_type,level,grant,debt_equity,risk,fiscal,market,regulatory,generate,realign,avoid,deliver,private,public,implemented_flag,bfp_impl_group,iso3c
Asia and the Pacific,Thailand,TRUE,2018,6,CS,Corporate sustainability,Corporate supply chain management,0,Corporate sustainability,A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,In-BFP: not implemented,THA
Asia and the Pacific,Thailand,TRUE,2018,6,TFS,Trust funds (detailed review),NA,0,Trust funds (detailed review),A,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,THA
Asia and the Pacific,Thailand,TRUE,2018,6,BO,Biodiversity offsets (detailed review),Nutrient trading,0,Biodiversity offsets (detailed review),A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,THA
Asia and the Pacific,Thailand,TRUE,2018,6,BO,Biodiversity offsets (detailed review),Biobanking (habitat/species),0,Biodiversity offsets (detailed review),A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,THA
Asia and the Pacific,Thailand,TRUE,2018,6,BIO,Bioprospecting (detailed review),NA,0,Bioprospecting (detailed review),A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,In-BFP: not implemented,THA
Asia and the Pacific,Thailand,TRUE,2018,6,TFT,Earmarking of taxes,NA,0,Earmarking of taxes,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,THA
Asia and the Pacific,Thailand,TRUE,2020,4,PST,Promotion of sustainable tourism,NA,1,Promotion of sustainable tourism,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,In-BFP: implemented,THA
Asia and the Pacific,Thailand,TRUE,2020,4,TT,Taxes and fees in the tourism sector,NA,1,Taxes and fees in the tourism sector,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,In-BFP: implemented,THA
Asia and the Pacific,Thailand,TRUE,2020,4,CLP,Conservation or wildlife themed items,Conservation license plates,1,Conservation or wildlife themed items,A,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,In-BFP: implemented,THA
Asia and the Pacific,Thailand,TRUE,2020,4,PBE,Enhance public budget execution,Enhance local budget execution,1,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,In-BFP: implemented,THA
Asia and the Pacific,Thailand,TRUE,2020,4,PST,Promotion of sustainable tourism,NA,1,Promotion of sustainable tourism,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,In-BFP: implemented,THA
Asia and the Pacific,Thailand,TRUE,2020,4,II,Impact investment (detailed review),NA,1,Impact investment (detailed review),A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,In-BFP: implemented,THA
Asia and the Pacific,Thailand,FALSE,NA,NA,CRW,Crowd funding,NA,1,Crowd funding,A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Post-BFP: implemented,THA
Asia and the Pacific,Thailand,FALSE,NA,NA,HS,Change subsidies harmful to biodiversity,NA,1,Change subsidies harmful to biodiversity,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Post-BFP: implemented,THA
Asia and the Pacific,Thailand,FALSE,NA,NA,GB,Green bonds (detailed review),Ecosystem green bonds,1,Green bonds (detailed review),A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,THA
Latin America and Caribbean,Brazil,TRUE,2019,5,BO,Biodiversity offsets (detailed review),Biobanking (habitat/species),0,Biodiversity offsets (detailed review),A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,BRA
Latin America and Caribbean,Brazil,TRUE,2019,5,TT,Taxes and fees in the tourism sector,"Tourism, real estate and commercial concessions",0,Taxes and fees in the tourism sector,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,BRA
Latin America and Caribbean,Brazil,TRUE,2019,5,TFF,"Taxes, Fees and Royalties in the Forestry Sector",Forestry Concession Fees,0,"Taxes, Fees and Royalties in the Forestry Sector",A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,BRA
Latin America and Caribbean,Brazil,FALSE,NA,NA,ODA,Increasing Official Development Assistance (ODA),Multilateral ODA,0,Increasing Official Development Assistance (ODA),A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,BRA
Latin America and Caribbean,Brazil,FALSE,NA,NA,ES,Enabling solutions,NA,1,Enabling  solutions,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Post-BFP: implemented,BRA
Latin America and Caribbean,Brazil,FALSE,NA,NA,PES,Payment for Ecosystem Services (detailed review),Payment for Ecosystem Services-state intermediation and/or fee,1,Payment for Ecosystem Services (detailed review),A,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Post-BFP: implemented,BRA
Latin America and Caribbean,Brazil,FALSE,NA,NA,PBE,Enhance public budget execution,Enhance local budget execution,1,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Post-BFP: implemented,BRA
Latin America and Caribbean,Brazil,FALSE,NA,NA,GB,Green bonds (detailed review),NA,1,Green bonds (detailed review),A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,BRA
Latin America and Caribbean,Peru,TRUE,2019,5,PBE,Enhance public budget execution,NA,0,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,PER
Latin America and Caribbean,Peru,TRUE,2019,5,ISB,Incentives for sustainable business,NA,0,Incentives for sustainable business,A,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,PER
Latin America and Caribbean,Peru,TRUE,2019,5,TFS,Trust funds (detailed review),NA,0,Trust funds (detailed review),A,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,PER
Latin America and Caribbean,Peru,TRUE,2019,5,ES,Enabling solutions,Partnership and platform,0,Enabling  solutions,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,PER
Latin America and Caribbean,Peru,TRUE,2019,5,GK,Green banks,NA,0,Green banks,A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,PER
Latin America and Caribbean,Peru,TRUE,2019,5,PES,Payment for Ecosystem Services (detailed review),NA,0,Payment for Ecosystem Services (detailed review),A,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,PER
Latin America and Caribbean,Peru,TRUE,2019,5,EIA,Environmental (and Social) Impact Assessment,NA,0,Environmental (and Social) Impact Assessment,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,PER
Latin America and Caribbean,Peru,TRUE,2019,5,BIF,Biodiversity Inverstment funds,NA,0,Biodiversity Inverstment funds,A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,In-BFP: not implemented,PER
Latin America and Caribbean,Peru,TRUE,2019,5,PBE,Enhance public budget execution,NA,1,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,In-BFP: implemented,PER
Latin America and Caribbean,Peru,FALSE,NA,NA,GL,Green lending,Green microfinance,1,Green lending,A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,PER
Latin America and Caribbean,Peru,FALSE,NA,NA,GB,Green bonds (detailed review),NA,1,Green bonds (detailed review),A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,PER
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,CEM,Cost effectiveness measures,NA,0,Cost effectiveness measures,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,EIA,Environmental (and Social) Impact Assessment,NA,0,Environmental (and Social) Impact Assessment,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,ES,Enabling solutions,Capacity building,0,Enabling  solutions,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,TFF,"Taxes, Fees and Royalties in the Forestry Sector",NA,0,"Taxes, Fees and Royalties in the Forestry Sector",A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,TT,Taxes and fees in the tourism sector,Entrance fees,0,Taxes and fees in the tourism sector,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,MPD,Mobilization of private donations,NA,0,Mobilization of private donations,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,In-BFP: not implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,HS,Change subsidies harmful to biodiversity,NA,0,Change subsidies harmful to biodiversity,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,PBE,Enhance public budget execution,NA,0,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,TFS,Trust funds (detailed review),NA,1,Trust funds (detailed review),A,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,In-BFP: implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,HS,Change subsidies harmful to biodiversity,NA,1,Change subsidies harmful to biodiversity,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,In-BFP: implemented,KGZ
Europe and Central Asia,Kyrgyzstan,FALSE,NA,NA,HS,Change subsidies harmful to biodiversity,NA,0,Change subsidies harmful to biodiversity,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,PBE,Enhance public budget execution,NA,1,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,In-BFP: implemented,KGZ
Europe and Central Asia,Kyrgyzstan,TRUE,2019,5,RBB,Result based budgeting,NA,1,Result based budgeting,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,In-BFP: implemented,KGZ
Europe and Central Asia,Kyrgyzstan,FALSE,NA,NA,PBE,Enhance public budget execution,NA,1,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Post-BFP: implemented,KGZ
Europe and Central Asia,Kyrgyzstan,FALSE,NA,NA,DBS,Debt-for-Nature Swaps (detailed review),NA,1,Debt-for-Nature Swaps (detailed review),A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Post-BFP: implemented,KGZ
Europe and Central Asia,Kyrgyzstan,FALSE,NA,NA,TT,Taxes and fees in the tourism sector,Entrance fees,1,Taxes and fees in the tourism sector,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Post-BFP: implemented,KGZ
Europe and Central Asia,Kyrgyzstan,FALSE,NA,NA,LLR,Land lease revenues,NA,0,Land lease revenues,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,KGZ
Europe and Central Asia,Kyrgyzstan,FALSE,NA,NA,TFS,Trust funds (detailed review),Regional Trust Funds,0,Trust funds (detailed review),A,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,KGZ
Europe and Central Asia,Kyrgyzstan,FALSE,NA,NA,EP,Effective procurement,NA,1,Effective procurement,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Post-BFP: implemented,KGZ
Latin America and Caribbean,Costa Rica,TRUE,2018,6,PBE,Enhance public budget execution,NA,0,Enhance public budget execution,A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,In-BFP: not implemented,CRI
Latin America and Caribbean,Costa Rica,TRUE,2018,6,ES,Enabling solutions,Partnership and platform,0,Enabling  solutions,A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,In-BFP: not implemented,CRI
Latin America and Caribbean,Costa Rica,TRUE,2018,6,OUT,Outsourcing strategies,NA,0,Outsourcing strategies,A,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,In-BFP: not implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,GB,Green bonds (detailed review),NA,1,Green bonds (detailed review),A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,PST,Promotion of sustainable tourism,NA,1,Promotion of sustainable tourism,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,NPA,Non-State Protected Areas,NA,1,Non-State Protected Areas,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,TRUE,2018,6,TT,Taxes and fees in the tourism sector,"Tourism, real estate and commercial concessions",1,Taxes and fees in the tourism sector,A,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,In-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,CRW,Crowd funding,NA,1,Crowd funding,A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,PES,Payment for Ecosystem Services (detailed review),NA,1,Payment for Ecosystem Services (detailed review),A,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,PST,Promotion of sustainable tourism,NA,1,Promotion of sustainable tourism,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,VC,Venture capital,Biodiversity business incubator,1,Venture capital,A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,GL,Green lending,Green microfinance,1,Green lending,A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,CS,Corporate sustainability,NA,1,Corporate sustainability,A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,GL,Green lending,NA,1,Green lending,A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,ECF,Enterprise challenge and innovation funds (detailed review),NA,1,Enterprise challenge and innovation funds (detailed review),A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,VC,Venture capital,NA,1,Venture capital,A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Post-BFP: implemented,CRI
Latin America and Caribbean,Costa Rica,FALSE,NA,NA,II,Impact investment (detailed review),NA,1,Impact investment (detailed review),A,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Post-BFP: implemented,CRI
